Name,No. of Reviews,Area,Est. Price ($),Categories,URL
Jollibee (Paya Lebar Square),11,Paya Lebar,10,"Fast Food, Halal",https://www.burpple.com/jollibee-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Umisushi (Paya Lebar MRT),1,Paya Lebar,10,"Sushi, Japanese",https://www.burpple.com/umisushi-1?bp_ref=%2Fsearch%2Fsg
Greendot (Paya Lebar Square),33,Paya Lebar,15,"Vegetarian, Healthy",https://www.burpple.com/greendot-1?bp_ref=%2Fsearch%2Fsg
ITea (Paya Lebar Square),2,Paya Lebar,5,Desserts,https://www.burpple.com/itea-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Ananas Cafe (Paya Lebar),1,Paya Lebar,,"Hawker Food, Cafes & Coffee, Halal",https://www.burpple.com/ananas-cafe-2?bp_ref=%2Fsearch%2Fsg
Cantine (Paya Lebar Square),35,Paya Lebar,,"Kopitiam, Hawker Food, Halal",https://www.burpple.com/cantine-1?bp_ref=%2Fsearch%2Fsg
Lenas (Paya Lebar Square),14,Paya Lebar,20,Western,https://www.burpple.com/lenas-at-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Qian Xi (Paya Lebar),9,Paya Lebar,,"Good For Groups, Chinese",https://www.burpple.com/TGhtXNRy?bp_ref=%2Fsearch%2Fsg
89.7 Supper Club (Paya Lebar),7,Paya Lebar,,"Hawker Food, Supper, Halal",https://www.burpple.com/897-supper-club-paya-lebar?bp_ref=%2Fsearch%2Fsg
KOI Thé (Paya Lebar),2,Paya Lebar,5,Desserts,https://www.burpple.com/koi-express-paya-lebar?bp_ref=%2Fsearch%2Fsg
EAT. (Paya Lebar Square),1,Paya Lebar,5,Hawker Food,https://www.burpple.com/eat-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Fun Tea (Paya Lebar Square),1,Paya Lebar,5,"Desserts, Cafes & Coffee",https://www.burpple.com/fun-toast-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Toast Box (Paya Lebar Square),2,Paya Lebar,10,"Local Delights, Bread, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/toast-box-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
McDonald's (Paya Lebar Square),17,Paya Lebar,10,"Supper, Fast Food",https://www.burpple.com/mcdonalds-singpost?bp_ref=%2Fsearch%2Fsg
Burger King (Paya Lebar Square),4,Paya Lebar,10,"Burgers, Fast Food, Halal",https://www.burpple.com/burger-king-118?bp_ref=%2Fsearch%2Fsg
Mr YouTiao (Paya Lebar Square),2,Paya Lebar,5,"Local Delights, Hawker Food, Breakfast & Brunch",https://www.burpple.com/mr-youtiao-paya-lebar?bp_ref=%2Fsearch%2Fsg
Fruit Box (Paya Lebar Square),0,Paya Lebar,5,Healthy,https://www.burpple.com/fruit-box-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Duke Bakery (Paya Lebar Square),5,Paya Lebar,5,Bread,https://www.burpple.com/duke-bakery-5?bp_ref=%2Fsearch%2Fsg
Proofer Boulangerie (Paya Lebar Square),6,Paya Lebar,10,"Pizza, Bread",https://www.burpple.com/proofer-boulangerie-4?bp_ref=%2Fsearch%2Fsg
5 Little Bears (Paya Lebar Square),17,Paya Lebar,10,Taiwanese,https://www.burpple.com/5-little-bears-2?bp_ref=%2Fsearch%2Fsg
Chicken Run (Paya Lebar Square),8,Paya Lebar,15,"Local Delights, Chinese",https://www.burpple.com/chicken-run-1?bp_ref=%2Fsearch%2Fsg
Gado & Grill (Paya Lebar Square),5,Paya Lebar,10,"Indonesian, Halal",https://www.burpple.com/gado-grill-1?bp_ref=%2Fsearch%2Fsg
Four Leaves (Paya Lebar Square),1,Paya Lebar,5,"Bread, Cakes",https://www.burpple.com/four-leaves-10?bp_ref=%2Fsearch%2Fsg
MOS Burger (Paya Lebar Square),1,Paya Lebar,10,"Fast Food, Burgers",https://www.burpple.com/mos-burger-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Petite Menu (Aqueen Paya Lebar),13,Paya Lebar,15,"Pasta, Western, Cafes & Coffee",https://www.burpple.com/aqueen-hotel-paya-lebar?bp_ref=%2Fsearch%2Fsg
Mr Bean (Paya Lebar MRT),5,Paya Lebar,5,"Desserts, Healthy",https://www.burpple.com/mr-bean-paya-lebar-mrt?bp_ref=%2Fsearch%2Fsg
Sakae Sushi (Paya Lebar Square),5,Paya Lebar,25,"Sushi, 1-for-1 Deals, Japanese, Burpple Beyond",https://www.burpple.com/sakae-sushi-60?bp_ref=%2Fsearch%2Fsg
Ah Mah Homemade Cake (Paya Lebar Square),6,Paya Lebar,10,"Desserts, Cakes",https://www.burpple.com/ah-mah-cake-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Lotus Thai Restaurant (Paya Lebar Square),5,Paya Lebar,15,Thai,https://www.burpple.com/lotus-thai-paya-lebar?bp_ref=%2Fsearch%2Fsg
Kraftwich By Swissbake (Paya Lebar Square),9,Paya Lebar,15,"Sandwiches, Cafes & Coffee, Salads, Healthy, Halal",https://www.burpple.com/kraftwich-by-swissbake?bp_ref=%2Fsearch%2Fsg
Pontian Wanton Noodles (Paya Lebar Square),6,Paya Lebar,5,Hawker Food,https://www.burpple.com/pontian-wanton-noodles-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Ju Hao By MOF (Paya Lebar Square),0,Paya Lebar,15,"Dim Sum, Chinese",https://www.burpple.com/ju-hao-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Delibowl Rice Bowl (Paya Lebar Square),4,Paya Lebar,10,"Chinese, Halal",https://www.burpple.com/delibowl-ricebowl?bp_ref=%2Fsearch%2Fsg
Xuan Miao Vegan (Paya Lebar Square),6,Paya Lebar,10,"Vegetarian, Hawker Food, Healthy",https://www.burpple.com/xuan-miao-vegan?bp_ref=%2Fsearch%2Fsg
Ramen Keisuke Tonkotsu King (Paya Lebar Square),37,Paya Lebar,,"Ramen, Japanese",https://www.burpple.com/ramen-keisuke-tonkotsu-king-1?bp_ref=%2Fsearch%2Fsg
Jack's Place (Paya Lebar Square),9,Paya Lebar,25,"Steak, Western",https://www.burpple.com/jacks-place-at-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
The Soup Spoon (Paya Lebar Square),1,Paya Lebar,10,"Soup, Healthy, Salads, Western",https://www.burpple.com/the-soup-spoon-25?bp_ref=%2Fsearch%2Fsg
Old Chang Kee (Paya Lebar Square),8,Paya Lebar,5,"Local Delights, Fast Food, Halal",https://www.burpple.com/old-chang-kee-7?bp_ref=%2Fsearch%2Fsg
Nine Fresh Desserts Taiwan (Paya Lebar Square),22,Paya Lebar,5,"Taiwanese, Cheap & Good, Desserts",https://www.burpple.com/nine-fresh-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Madura's Restaurant (Paya Lebar Square),1,Paya Lebar,10,"Indian, Halal",https://www.burpple.com/maduras-restaurant-paya-lebar-square?bp_ref=%2Fsearch%2Fsg
Shan Cheng Ipoh Horfun (Paya Lebar Square),4,Paya Lebar,10,"Local Delights, Hawker Food",https://www.burpple.com/hill-city-cafe?bp_ref=%2Fsearch%2Fsg
Ginza Tendon Itsuki (Paya Lebar Square),5,Paya Lebar,15,"Cheap & Good, Japanese",https://www.burpple.com/ginza-tendon-itsuki-1?bp_ref=%2Fsearch%2Fsg
Ya Kun Kaya Toast (Paya Lebar Square),0,Paya Lebar,5,"Bread, Breakfast & Brunch, Cafes & Coffee",https://www.burpple.com/ya-kun-2?bp_ref=%2Fsearch%2Fsg
Cubemelt Gelato,1,Paya Lebar,5,"Ice Cream & Yoghurt, Desserts, Waffles",https://www.burpple.com/cubemelt-gelato?bp_ref=%2Fsearch%2Fsg
Tok Tok Indonesian Soup House (Paya Lebar Square),8,Paya Lebar,10,"Indonesian, Halal",https://www.burpple.com/tok-tok-indonesian-soup-house-1?bp_ref=%2Fsearch%2Fsg
Charcoal-Grill & Salad Bar Keisuke,57,Paya Lebar,20,"Seafood, Japanese, Salads",https://www.burpple.com/charcoal-grill-and-salad-bar-keisuke?bp_ref=%2Fsearch%2Fsg
Aji-ichi (SingPost Centre),5,Paya Lebar,15,"Sushi, Japanese",https://www.burpple.com/aji-ichi?bp_ref=%2Fsearch%2Fsg
Rice House Vegetarian,22,Paya Lebar,5,"Vegetarian, Hawker Food",https://www.burpple.com/rice-house?bp_ref=%2Fsearch%2Fsg
Traditional Haig Road Putu Piring (Geylang Serai),54,Paya Lebar,5,"Local Delights, Cheap & Good, Desserts, Hawker Food, Malay",https://www.burpple.com/traditional-haig-road-putu-piring-1?bp_ref=%2Fsearch%2Fsg
Don Lechon,29,Paya Lebar,15,"Local Delights, Good For Groups",https://www.burpple.com/don-lechon?bp_ref=%2Fsearch%2Fsg
Hollywood Canteen Zhen Guang Wonton Noodles (Haig Road Market & Food Centre),13,Paya Lebar,5,Hawker Food,https://www.burpple.com/zhenguang-wantan-noodles?bp_ref=%2Fsearch%2Fsg
Arnold's Fried Chicken (City Plaza),81,Paya Lebar,10,"Western, Cheap & Good, Fast Food, Halal",https://www.burpple.com/arnolds-fried-chicken?bp_ref=%2Fsearch%2Fsg
Fatburger (KINEX),44,Paya Lebar,15,"Western, Burgers",https://www.burpple.com/fatburger-kinex?bp_ref=%2Fsearch%2Fsg
Little Vietnam Restaurant & Cafe,77,Paya Lebar,15,"Vietnamese, Cheap & Good, Cafes & Coffee",https://www.burpple.com/little-vietnam-restaurant-and-cafe?bp_ref=%2Fsearch%2Fsg
Poon Nah City Home Made Noodle,66,Paya Lebar,5,"Hawker Food, Cheap & Good",https://www.burpple.com/poon-nah-city-home-made-noodle?bp_ref=%2Fsearch%2Fsg
Seoul Yummy (SingPost Centre),22,Paya Lebar,20,"Korean, Good For Groups",https://www.burpple.com/seoul-yummy-2?bp_ref=%2Fsearch%2Fsg
Grove (SingPost Centre),18,Paya Lebar,10,"Ramen, Vegetarian, Healthy",https://www.burpple.com/grove?bp_ref=%2Fsearch%2Fsg
City Plaza Food Court,15,Paya Lebar,,"Kopitiam, Local Delights",https://www.burpple.com/city-plaza-food-court?bp_ref=%2Fsearch%2Fsg
Tong Kee Traditional Braised Duck (Haig Road Market & Food Centre),4,Paya Lebar,5,Hawker Food,https://www.burpple.com/tong-kee-traditional-braised-duck?bp_ref=%2Fsearch%2Fsg
Kopitiam (SingPost Centre),6,Paya Lebar,10,"Kopitiam, Hawker Food",https://www.burpple.com/kopitiam-singapore-post-centre?bp_ref=%2Fsearch%2Fsg
Sin Hock Heng Teochew Porridge,8,Paya Lebar,10,"Rainy Day Comforts, Hawker Food, Supper",https://www.burpple.com/teochew-porridge-rice-sin-hock-heng?bp_ref=%2Fsearch%2Fsg
Haakon Superfoods & Juice (KINEX),6,Paya Lebar,15,"Desserts, Salads, Healthy",https://www.burpple.com/haakon-3?bp_ref=%2Fsearch%2Fsg
99Bistro,3,Paya Lebar,25,"Indian, Good For Groups, Halal",https://www.burpple.com/99bistro?bp_ref=%2Fsearch%2Fsg
Sa Tae Bak,7,Paya Lebar,30,"Bars, BBQ",https://www.burpple.com/sa-tae-bak?bp_ref=%2Fsearch%2Fsg
Thiên Long Vietnamese Food,24,Paya Lebar,10,"Hidden Gem, Vietnamese, Cheap & Good, Supper",https://www.burpple.com/thien-long?bp_ref=%2Fsearch%2Fsg
Ladyboy - Mookata/Steamboat Cheese,9,Paya Lebar,30,"Thai, Buffets, Seafood, Steamboat, Mookata, BBQ, Supper",https://www.burpple.com/ladyboy-mookatasteamboat-cheese?bp_ref=%2Fsearch%2Fsg
Hawkerman (SingPost Centre),57,Paya Lebar,15,"Local Delights, Hawker Food",https://www.burpple.com/hawkerman?bp_ref=%2Fsearch%2Fsg
CafeMama (SingPost Centre),6,Paya Lebar,15,"Korean, Cafes & Coffee",https://www.burpple.com/cafe-mama?bp_ref=%2Fsearch%2Fsg
Sin Huat Eating House,36,Paya Lebar,5,"Seafood, Supper, Hawker Food",https://www.burpple.com/sin-huat-eating-house?bp_ref=%2Fsearch%2Fsg
Beauty In The Pot (KINEX),171,Paya Lebar,50,"Steamboat, Rainy Day Comforts, Late Night, Supper, Chinese",https://www.burpple.com/beauty-in-the-pot-kinex?bp_ref=%2Fsearch%2Fsg
Satay Sejati (Haig Road Market & Food Centre),7,Paya Lebar,10,"Hawker Food, Malay, Halal",https://www.burpple.com/satay-sejati-stall-0123?bp_ref=%2Fsearch%2Fsg
Swensen's (SingPost Centre),4,Paya Lebar,25,"Western, Desserts, Halal",https://www.burpple.com/swensens-singpost-centre?bp_ref=%2Fsearch%2Fsg
KFC (KINEX),4,Paya Lebar,10,"Fast Food, Halal",https://www.burpple.com/kfc-kinex?bp_ref=%2Fsearch%2Fsg
Kazu Kazu (Platform M By MOF),10,Paya Lebar,10,Japanese,https://www.burpple.com/kazu-kazu?bp_ref=%2Fsearch%2Fsg
Da Long Yan Hotpot,5,Paya Lebar,30,"Buffets, Steamboat, Rainy Day Comforts, Supper, Chinese",https://www.burpple.com/da-long-yan-hotpot?bp_ref=%2Fsearch%2Fsg
Ju Hao By MOF (SingPost Centre),4,Paya Lebar,15,"Dim Sum, Chinese",https://www.burpple.com/ju-hao-paya-lebar?bp_ref=%2Fsearch%2Fsg
Toast Box (KINEX),1,Paya Lebar,10,"Local Delights, Bread, Cafes & Coffee",https://www.burpple.com/toast-box-kinex?bp_ref=%2Fsearch%2Fsg
R&B Tea (KINEX),4,Paya Lebar,5,Desserts,https://www.burpple.com/rb-tea-kinex?bp_ref=%2Fsearch%2Fsg
Fleur Bistro,2,Paya Lebar,,"Western, Desserts, Cafes & Coffee, Halal",https://www.burpple.com/fleurcafe?bp_ref=%2Fsearch%2Fsg
Long John Silver's (SingPost Centre),1,Paya Lebar,10,"Fast Food, Halal",https://www.burpple.com/long-john-silvers-singapore-post-centre?bp_ref=%2Fsearch%2Fsg
New Scissors Cut Restaurant,18,Paya Lebar,5,"Hawker Food, Supper",https://www.burpple.com/new-scissors-cut-restaurant-lor-35-geylang?bp_ref=%2Fsearch%2Fsg
The Coffee Bean & Tea Leaf (SingPost Centre),16,Paya Lebar,15,"Breakfast & Brunch, Cafes & Coffee, Halal",https://www.burpple.com/the-coffee-bean-tea-leaf-67?bp_ref=%2Fsearch%2Fsg
Mr Teh Tarik Eating House (Geylang),15,Paya Lebar,5,"Hawker Food, Supper, Halal",https://www.burpple.com/mr-teh-tarik-eating-house-2?bp_ref=%2Fsearch%2Fsg
Twelve Cupcakes (SingPost Centre),2,Paya Lebar,5,"Cakes, Desserts, Halal",https://www.burpple.com/twelve-cupcakes-37?bp_ref=%2Fsearch%2Fsg
Easy Chatuchak Beef Noodles,1,Paya Lebar,10,"Thai, Hawker Food",https://www.burpple.com/easy-chatuchak-beef-noodles?bp_ref=%2Fsearch%2Fsg
Hibiki Sake Bar & Dine,1,Paya Lebar,25,"Bars, Dinner with Drinks, Japanese",https://www.burpple.com/hibiki-sake-bar-dine?bp_ref=%2Fsearch%2Fsg
Kimchi Xpress (KINEX),1,Paya Lebar,10,Korean,https://www.burpple.com/kimchi-xpress-kinex?bp_ref=%2Fsearch%2Fsg
Hibiki Sake Bar & Dine,1,Paya Lebar,25,"Bars, Dinner with Drinks, Japanese",https://www.burpple.com/hibiki-sake-bar-dine?bp_ref=%2Fsearch%2Fsg
Starbucks (KINEX),6,Paya Lebar,10,Cafes & Coffee,https://www.burpple.com/starbucks-kinex?bp_ref=%2Fsearch%2Fsg
Baikohken Ramen Restaurant (KINEX),6,Paya Lebar,20,"Ramen, Japanese",https://www.burpple.com/baikohken-kinex?bp_ref=%2Fsearch%2Fsg
Hoshino Coffee (KINEX),10,Paya Lebar,20,"Japanese, Desserts, Cafes & Coffee",https://www.burpple.com/hoshino-coffee-kinex?bp_ref=%2Fsearch%2Fsg
Jazmint Restaurant,0,Paya Lebar,,Local Delights,https://www.burpple.com/jazmint-restaurant?bp_ref=%2Fsearch%2Fsg
Merdandy Bar & Cafe,7,Paya Lebar,30,"Bars, Western, Dinner with Drinks, Late Night",https://www.burpple.com/merdandy-bar-cafe?bp_ref=%2Fsearch%2Fsg
Kaffe & Toast Thai Noodle Bar (SingPost Centre),2,Paya Lebar,10,"Thai, Bread, Cafes & Coffee, Halal",https://www.burpple.com/kaffe-toast-thai-noodle-bar?bp_ref=%2Fsearch%2Fsg
Hajjah Mona Nasi Padang (Geylang Serai Market & Food Centre),5,Paya Lebar,10,"Malay, Hawker Food, Halal",https://www.burpple.com/hajjah-mona-nasi-padang-geylang-serai?bp_ref=%2Fsearch%2Fsg
Hoe Huat Wanton Noodle (Haig Road Market & Food Centre),1,Paya Lebar,5,Hawker Food,https://www.burpple.com/hoe-huat-wanton-noodle-haig-road-food-centre?bp_ref=%2Fsearch%2Fsg
S.S.S Wanton Noodles 顺顺顺云吞面,4,Paya Lebar,5,"Hawker Food, Supper",https://www.burpple.com/soon-soon-soon-wanton-noodles?bp_ref=%2Fsearch%2Fsg
Nuevo Cafe,56,Paya Lebar,15,"Bread, Breakfast & Brunch, Cakes, Cafes & Coffee, Desserts",https://www.burpple.com/nuevo?bp_ref=%2Fsearch%2Fsg
Mr Teh Tarik Express (SingPost Centre),2,Paya Lebar,10,"Indian, Hawker Food",https://www.burpple.com/mr-teh-tarik-express-2?bp_ref=%2Fsearch%2Fsg
Warong Sudi Mampir (Satay) (Haig Road Market & Food Centre),1,Paya Lebar,5,"Hawker Food, Malay",https://www.burpple.com/warong-sudi-mampir-satay?bp_ref=%2Fsearch%2Fsg
Marrybrown (Wisma Geylang Serai Community Club),3,Paya Lebar,10,"Burgers, Fast Food, Halal",https://www.burpple.com/marrybrown-11?bp_ref=%2Fsearch%2Fsg
Encik Tan (SingPost Centre),4,Paya Lebar,5,"Malay, Hawker Food, Halal",https://www.burpple.com/encik-tan-6?bp_ref=%2Fsearch%2Fsg
Kopi & Tarts (SingPost Centre),7,Paya Lebar,5,"Desserts, Cafes & Coffee, Halal",https://www.burpple.com/kopi-tarts-singpost-centre?bp_ref=%2Fsearch%2Fsg
Astons Specialities (SingPost Centre),4,Paya Lebar,15,"Steak, Western",https://www.burpple.com/aston-singapore-post-centre?bp_ref=%2Fsearch%2Fsg
Warung Selera Masakan Kampung,1,Paya Lebar,10,"Malay, Hawker Food",https://www.burpple.com/warung-selera-masakan-kampung?bp_ref=%2Fsearch%2Fsg
SEN Bar & Restaurant,6,Paya Lebar,,"Vietnamese, Bars, Dinner with Drinks",https://www.burpple.com/sen-bar-restaurant?bp_ref=%2Fsearch%2Fsg
Selera Serambi By Tang Tea House,3,Paya Lebar,,"Zi Char, Halal",https://www.burpple.com/selera-serambi-by-tang-tea-house?bp_ref=%2Fsearch%2Fsg
Rocky Master (KINEX),1,Paya Lebar,15,"Western, Cafes & Coffee, Halal",https://www.burpple.com/rocky-master-singapore-2?bp_ref=%2Fsearch%2Fsg
Kucina Italian Restaurant,19,Paya Lebar,30,"Pasta, Italian, Pizza, Good For Groups, Halal",https://www.burpple.com/kucina?bp_ref=%2Fsearch%2Fsg
Hj. Waliti Hj. Mazuki (Haig Road Market & Food Centre),4,Paya Lebar,5,"Malay, Hawker Food",https://www.burpple.com/hj-waliti-hj-mazuki?bp_ref=%2Fsearch%2Fsg
The Daily Kitchen,0,Paya Lebar,10,Cafes & Coffee,https://www.burpple.com/dailykitchensingapore?bp_ref=%2Fsearch%2Fsg
Q Gen,3,Geylang,5,"Hawker Food, Supper",https://www.burpple.com/q-gen?bp_ref=%2Fsearch%2Fsg
The Daily Kitchen,0,Paya Lebar,10,Cafes & Coffee,https://www.burpple.com/dailykitchensingapore?bp_ref=%2Fsearch%2Fsg
I Love Yoo! (SingPost Centre),3,Paya Lebar,5,"Local Delights, Fast Food",https://www.burpple.com/i-love-yoo-3?bp_ref=%2Fsearch%2Fsg
Tensho By MOF (SingPost Centre),8,Paya Lebar,15,Japanese,https://www.burpple.com/tensho-1?bp_ref=%2Fsearch%2Fsg
Qiji (KINEX),5,Paya Lebar,10,"Local Delights, Halal",https://www.burpple.com/qiji-kinex?bp_ref=%2Fsearch%2Fsg
Otak Otak Kampung (Geylang Serai Market & Food Centre),1,Paya Lebar,5,"Malay, Hawker Food",https://www.burpple.com/kampong-otak-otak?bp_ref=%2Fsearch%2Fsg
Soon Lee Cooked Food (Haig Road Market & Food Centre),1,Paya Lebar,5,Hawker Food,https://www.burpple.com/soon-lee-cooked-food?bp_ref=%2Fsearch%2Fsg
Goody 'N' Jolly (Haig Road Market & Food Centre),0,Paya Lebar,5,"Malay, Hawker Food",https://www.burpple.com/goody-n-jolly?bp_ref=%2Fsearch%2Fsg
Hj. Waliti Hj. Mazuki (Haig Road Market & Food Centre),4,Paya Lebar,5,"Malay, Hawker Food",https://www.burpple.com/hj-waliti-hj-mazuki?bp_ref=%2Fsearch%2Fsg
T.I.T. Thai Iced Tea,4,Paya Lebar,5,"Thai, Desserts",https://www.burpple.com/tit-thai-iced-tea?bp_ref=%2Fsearch%2Fsg
Carl's Jr. (SingPost Centre),9,Paya Lebar,10,"Burgers, Fast Food",https://www.burpple.com/carls-jr-singpost-center?bp_ref=%2Fsearch%2Fsg
Upot,13,Paya Lebar,15,"Taiwanese, Steamboat, Rainy Day Comforts",https://www.burpple.com/upot?bp_ref=%2Fsearch%2Fsg
Thye Hwa Heng Canteen,3,Paya Lebar,,Kopitiam,https://www.burpple.com/thye-hwa-heng-canteen?bp_ref=%2Fsearch%2Fsg
PappaRich (KINEX),11,Paya Lebar,15,"Local Delights, Good For Groups, Halal",https://www.burpple.com/papparich-kinex?bp_ref=%2Fsearch%2Fsg
Keng Wah Sung Coffee Shop,7,Paya Lebar,,"Kopitiam, Hawker Food, Cafes & Coffee",https://www.burpple.com/geylang-lorong-41-keng-wah-sung-coffeeshop?bp_ref=%2Fsearch%2Fsg
Geylang Briyani Stall (Geylang Serai Market & Food Centre),3,Paya Lebar,6,"Malay, Hawker Food, Halal",https://www.burpple.com/geylang-briyani-stall?bp_ref=%2Fsearch%2Fsg
APSN CFA Mystical Cafe For All,4,Paya Lebar,10,"Local Delights, Cakes, Cafes & Coffee",https://www.burpple.com/apsnmysticalcafeforall?bp_ref=%2Fsearch%2Fsg
Tenderfresh Classic (KINEX),21,Paya Lebar,15,"Cheap & Good, Western, Fast Food, Halal",https://www.burpple.com/tenderfresh-classic-kinex?bp_ref=%2Fsearch%2Fsg
KOKO Ice Cream (Joo Chiat),1,Joo Chiat,5,"Thai, Ice Cream & Yoghurt, Desserts",https://www.burpple.com/koko-ice-cream-joo-chiat?bp_ref=%2Fsearch%2Fsg
Malaysia Chiak! (SingPost Centre),1,Paya Lebar,5,"Kopitiam, Hawker Food",https://www.burpple.com/malaysia-chiak-3?bp_ref=%2Fsearch%2Fsg
Guan Guan Kopitiam,1,Paya Lebar,5,"Kopitiam, Hawker Food",https://www.burpple.com/guan-guan-cofeshop-1015-geylang-east?bp_ref=%2Fsearch%2Fsg
Har Yassin Restaurant,6,Paya Lebar,5,"Indian, Hawker Food",https://www.burpple.com/har-yassin-restaurant?bp_ref=%2Fsearch%2Fsg
Cendol Geylang Serai (Geylang Serai Market & Food Centre),4,Paya Lebar,5,"Desserts, Hawker Food",https://www.burpple.com/cendol-geylang-serai?bp_ref=%2Fsearch%2Fsg
Labu Labi,1,Paya Lebar,,Hawker Food,https://www.burpple.com/labu-labi-geylang-serai?bp_ref=%2Fsearch%2Fsg
Grab & Gold Café (SingPost Centre),1,Paya Lebar,10,"Desserts, Cafes & Coffee",https://www.burpple.com/grab-gold-cafe-singpost-centre?bp_ref=%2Fsearch%2Fsg
Keng Wah Sung Coffee Shop,7,Paya Lebar,,"Kopitiam, Hawker Food, Cafes & Coffee",https://www.burpple.com/geylang-lorong-41-keng-wah-sung-coffeeshop?bp_ref=%2Fsearch%2Fsg
Kacang Pool Mustafa (Geylang Serai Market & Food Centre),3,Paya Lebar,3,"Malay, Cheap & Good, Hawker Food, Halal",https://www.burpple.com/kacang-pool-mustafa-at-sri-geylang-serai-food-centre?bp_ref=%2Fsearch%2Fsg
AL-Rahman Muslim Food (Haig Road Market & Food Centre),1,Paya Lebar,5,"Indian, Hawker Food, Halal",https://www.burpple.com/alrahman-muslim-food-stall?bp_ref=%2Fsearch%2Fsg
Alwadi,3,Paya Lebar,10,"Supper, Malay, Hawker Food",https://www.burpple.com/alwadi?bp_ref=%2Fsearch%2Fsg
Yu Kee Specialities,3,Paya Lebar,10,Hawker Food,https://www.burpple.com/yu-kee-specialities?bp_ref=%2Fsearch%2Fsg
18 Hours (Tai Seng),1,Paya Lebar,10,"Local Delights, Western",https://www.burpple.com/18-hours-tai-seng?bp_ref=%2Fsearch%2Fsg
Curry Hero,1,Paya Lebar,10,Hawker Food,https://www.burpple.com/curry-hero?bp_ref=%2Fsearch%2Fsg
Teo Sheng Teochew Porridge 潮成潮州粥,2,Paya Lebar,,"Rainy Day Comforts, Hawker Food",https://www.burpple.com/at-geylang-lor-39?bp_ref=%2Fsearch%2Fsg
Syaza Nasi Padang,1,Paya Lebar,10,"Malay, Hawker Food, Indonesian",https://www.burpple.com/syaza-nasi-padang?bp_ref=%2Fsearch%2Fsg
Saizeriya (KINEX),21,Paya Lebar,10,"Italian, Cheap & Good, Japanese",https://www.burpple.com/saizeriya-one-km?bp_ref=%2Fsearch%2Fsg
Aya Izakaya,1,Paya Lebar,35,"Dinner with Drinks, Japanese",https://www.burpple.com/aya-izakaya?bp_ref=%2Fsearch%2Fsg
Dapur Penyet (City Plaza),3,Paya Lebar,10,"Indonesian, Halal",https://www.burpple.com/dapur-penyet-singapore?bp_ref=%2Fsearch%2Fsg
Saizeriya (KINEX),21,Paya Lebar,10,"Italian, Cheap & Good, Japanese",https://www.burpple.com/saizeriya-one-km?bp_ref=%2Fsearch%2Fsg
Teo Sheng Teochew Porridge 潮成潮州粥,2,Paya Lebar,,"Rainy Day Comforts, Hawker Food",https://www.burpple.com/at-geylang-lor-39?bp_ref=%2Fsearch%2Fsg
Syaza Nasi Padang,1,Paya Lebar,10,"Malay, Hawker Food, Indonesian",https://www.burpple.com/syaza-nasi-padang?bp_ref=%2Fsearch%2Fsg
Hjh Maimunah Restaurant (Joo Chiat),40,Paya Lebar,10,"Local Delights, Good For Groups, Malay, Indonesian, Halal",https://www.burpple.com/hajah-maimunah-restaurant-joo-chiat?bp_ref=%2Fsearch%2Fsg
Polar Puffs & Cakes (KINEX),1,Paya Lebar,10,"Bread, Cakes, Halal",https://www.burpple.com/polar-puffs-cakes-kinex?bp_ref=%2Fsearch%2Fsg
Ochazuke Tea Rice,2,Paya Lebar,10,Japanese,https://www.burpple.com/ochazuke-tea-rice?bp_ref=%2Fsearch%2Fsg
Wee Nam Kee Chicken Rice (SingPost Centre),3,Paya Lebar,5,"Chicken Rice, Cheap & Good, Hawker Food",https://www.burpple.com/wee-nam-kee-chicken-rice-singpost-centre?bp_ref=%2Fsearch%2Fsg
Rosy & Nora (Haig Road Market & Food Centre),2,Paya Lebar,5,"Hawker Food, Malay, Halal",https://www.burpple.com/rosy-nora?bp_ref=%2Fsearch%2Fsg
Sinar Pagi Nasi Padang (Geylang Serai Market & Food Centre),25,Paya Lebar,5,"Local Delights, Hawker Food, Indonesian",https://www.burpple.com/sinar-pagi-nasi-padang-geylang-serai?bp_ref=%2Fsearch%2Fsg
Encik Tan (KINEX),1,Paya Lebar,5,"Local Delights, Hawker Food, Halal",https://www.burpple.com/encik-tan-kinex?bp_ref=%2Fsearch%2Fsg
Li Fang Congee (KINEX),3,Paya Lebar,5,"Chinese, Hawker Food",https://www.burpple.com/li-fang-congee-2?bp_ref=%2Fsearch%2Fsg
田 Magic Square,67,Portsdown,90,,https://www.burpple.com/magic-square?bp_ref=%2Fsearch%2Fsg
